,Model,Iter_n,loss,root_mean_squared_error,mean_absolute_error,val_loss,val_root_mean_squared_error,val_mean_absolute_error
0,data_raw_LSTM_DNN_optim_lag_10,1,1.0455917119979858,1.022541880607605,0.7099424004554749,0.9878924489021301,0.9939277768135071,0.6867005228996277
1,data_raw_LSTM_DNN_optim_lag_10,1,1.0319186449050903,1.0158339738845825,0.7014502882957458,0.9762741923332214,0.9880658388137817,0.6777885556221008
2,data_raw_LSTM_DNN_optim_lag_10,1,1.0002031326293945,1.0001015663146973,0.6843058466911316,0.9440381526947021,0.9716162085533142,0.6646324992179871
3,data_raw_LSTM_DNN_optim_lag_10,1,0.9384809136390686,0.9687521457672119,0.6585541367530823,0.9001515507698059,0.9487632513046265,0.652324914932251
4,data_raw_LSTM_DNN_optim_lag_10,1,0.8685547113418579,0.9319627285003662,0.631314754486084,0.8694723844528198,0.9324550032615662,0.6398302912712097
5,data_raw_LSTM_DNN_optim_lag_10,1,0.798973023891449,0.8938528895378113,0.6022318005561829,0.863567054271698,0.929283082485199,0.6507828831672668
6,data_raw_LSTM_DNN_optim_lag_10,1,0.7439747452735901,0.8625398278236389,0.5821712017059326,0.8638818264007568,0.9294524788856506,0.6360774040222168
7,data_raw_LSTM_DNN_optim_lag_10,1,0.6999155282974243,0.8366095423698425,0.5679458379745483,0.8659512996673584,0.9305651187896729,0.6328615546226501
8,data_raw_LSTM_DNN_optim_lag_10,1,0.6620188355445862,0.8136454224586487,0.5474961996078491,0.877489447593689,0.9367440938949585,0.6382245421409607
9,data_raw_LSTM_DNN_optim_lag_10,1,0.6340828537940979,0.7962931394577026,0.5359907150268555,0.886212170124054,0.9413883686065674,0.6508114337921143
10,data_raw_LSTM_DNN_optim_lag_10,1,0.6131093502044678,0.7830130457878113,0.5288850665092468,0.901579737663269,0.9495156407356262,0.6586132049560547
0,data_raw_LSTM_DNN_optim_lag_10,2,1.0973913669586182,1.0475643873214722,0.7064096331596375,1.4433586597442627,1.2013986110687256,0.7445405721664429
1,data_raw_LSTM_DNN_optim_lag_10,2,1.0096993446350098,1.0048377513885498,0.6865813136100769,1.3991618156433105,1.1828619241714478,0.7483457326889038
2,data_raw_LSTM_DNN_optim_lag_10,2,0.9176018834114075,0.9579153656959534,0.6450352072715759,1.3598682880401611,1.1661337614059448,0.7237030267715454
