Area Code;Area Code (M49);Area;Item Code;Item Code (CPC);Item;Element Code;Element;Unit;Y1961;Y1961F;Y1962;Y1962F;Y1963;Y1963F;Y1964;Y1964F;Y1965;Y1965F;Y1966;Y1966F;Y1967;Y1967F;Y1968;Y1968F;Y1969;Y1969F;Y1970;Y1970F;Y1971;Y1971F;Y1972;Y1972F;Y1973;Y1973F;Y1974;Y1974F;Y1975;Y1975F;Y1976;Y1976F;Y1977;Y1977F;Y1978;Y1978F;Y1979;Y1979F;Y1980;Y1980F;Y1981;Y1981F;Y1982;Y1982F;Y1983;Y1983F;Y1984;Y1984F;Y1985;Y1985F;Y1986;Y1986F;Y1987;Y1987F;Y1988;Y1988F;Y1989;Y1989F;Y1990;Y1990F;Y1991;Y1991F;Y1992;Y1992F;Y1993;Y1993F;Y1994;Y1994F;Y1995;Y1995F;Y1996;Y1996F;Y1997;Y1997F;Y1998;Y1998F;Y1999;Y1999F;Y2000;Y2000F;Y2001;Y2001F;Y2002;Y2002F;Y2003;Y2003F;Y2004;Y2004F;Y2005;Y2005F;Y2006;Y2006F;Y2007;Y2007F;Y2008;Y2008F;Y2009;Y2009F;Y2010;Y2010F;Y2011;Y2011F;Y2012;Y2012F;Y2013;Y2013F;Y2014;Y2014F;Y2015;Y2015F;Y2016;Y2016F;Y2017;Y2017F;Y2018;Y2018F;Y2019;Y2019F;Y2020;Y2020F;Y2021;Y2021F
45;'174;Comoros;661;'01640;Cocoa beans;5510;Production;tonnes;41.000000;T;34.000000;T;46.000000;T;52.000000;T;33.000000;T;69.000000;T;56.000000;T;42.000000;T;51.000000;T;48.000000;T;16.000000;T;50.000000;T;19.000000;T;38.000000;T;21.000000;T;15.000000;T;20.000000;T;15.000000;T;18.000000;T;15.000000;T;20.000000;T;20.000000;T;20.000000;T;20.000000;T;20.000000;T;21.000000;E;21.000000;E;22.000000;E;22.000000;E;22.000000;E;22.200000;I;22.490000;I;22.790000;I;23.090000;I;23.290000;I;23.600000;I;24.000000;E;24.430000;I;25.000000;E;26.000000;E;26.450000;I;26.800000;I;27.000000;E;27.230000;I;27.540000;I;28.000000;E;29.670000;I;31.590000;I;33.610000;I;35.620000;I;37.490000;I;39.480000;I;40.130000;I;40.890000;I;43.860000;I;41.630000;E;42.600000;I;42.700000;E;42.310000;E;42.530000;E;42.510000;E
46;'178;Congo;661;'01640;Cocoa beans;5312;Area harvested;ha;3000.000000;E;3000.000000;E;3000.000000;E;3000.000000;E;3000.000000;E;3000.000000;E;3000.000000;E;3000.000000;E;3000.000000;E;3000.000000;E;4000.000000;E;4144.000000;A;4100.000000;E;4100.000000;E;4110.000000;A;4155.000000;A;4201.000000;A;4200.000000;E;4200.000000;E;4200.000000;E;4200.000000;E;4200.000000;E;4200.000000;E;4200.000000;E;4200.000000;E;5133.000000;A;5472.000000;A;5675.000000;A;5402.000000;A;5145.000000;A;5696.000000;A;5786.000000;A;6000.000000;E;6467.000000;I;6200.000000;E;6000.000000;E;5800.000000;E;5799.000000;I;4436.000000;A;4346.000000;A;4260.000000;A;4171.000000;A;3300.000000;E;3399.000000;I;3000.000000;E;3000.000000;E;2700.000000;E;2700.000000;E;3000.000000;E;4592.000000;I;5507.000000;I;10164.000000;I;18275.000000;I;18005.000000;I;8929.000000;I;11000.000000;E;12000.000000;E;16171.000000;I;17545.000000;I;24153.000000;I;62103.000000;I
46;'178;Congo;661;'01640;Cocoa beans;5419;Yield;hg/ha;3000.000000;I;2100.000000;I;2667.000000;I;3667.000000;I;2667.000000;I;2923.000000;I;3813.000000;I;4293.000000;I;3983.000000;I;4480.000000;I;5065.000000;I;5179.000000;E;5156.000000;I;5907.000000;I;7085.000000;E;5613.000000;E;7191.000000;E;5417.000000;I;6600.000000;E;5557.000000;I;5271.000000;I;5933.000000;I;3781.000000;I;4438.000000;I;4393.000000;I;3589.000000;E;3200.000000;E;2839.000000;E;3691.000000;E;4111.000000;E;3841.000000;A;3911.000000;A;3902.000000;E;3747.000000;E;4044.000000;E;3097.000000;E;3233.000000;E;3276.000000;E;3000.000000;A;3000.000000;A;3000.000000;A;3004.000000;A;3030.000000;E;2942.000000;E;2667.000000;E;2667.000000;E;2593.000000;E;3433.000000;E;2667.000000;E;2613.000000;E;2724.000000;E;2755.000000;E;2736.000000;E;2777.000000;E;2800.000000;E;3455.000000;E;2917.000000;E;2783.000000;E;2850.000000;E;2898.000000;E;2898.000000;E
46;'178;Congo;661;'01640;Cocoa beans;5510;Production;tonnes;900.000000;A;630.000000;A;800.000000;A;1100.000000;A;800.000000;A;877.000000;A;1144.000000;A;1288.000000;A;1195.000000;A;1344.000000;A;2026.000000;A;2146.000000;A;2114.000000;A;2422.000000;A;2912.000000;A;2332.000000;A;3021.000000;A;2275.000000;A;2772.000000;T;2334.000000;A;2214.000000;A;2492.000000;A;1588.000000;A;1864.000000;A;1845.000000;A;1842.000000;A;1751.000000;A;1611.000000;A;1994.000000;A;2115.000000;A;2188.000000;A;2263.000000;A;2341.000000;A;2423.000000;A;2507.000000;A;1858.000000;T;1875.000000;A;1900.000000;E;1331.000000;A;1304.000000;A;1278.000000;A;1253.000000;A;1000.000000;T;1000.000000;T;800.000000;A;800.000000;A;700.000000;A;927.000000;A;800.000000;A;1200.000000;T;1500.000000;T;2800.000000;T;5000.000000;T;5000.000000;T;2500.000000;T;3800.000000;T;3500.000000;T;4500.000000;T;5000.000000;T;7000.000000;T;18000.000000;T
48;'188;Costa Rica;661;'01640;Cocoa beans;5312;Area harvested;ha;29000.000000;A;29900.000000;A;30000.000000;A;30000.000000;A;30000.000000;A;30000.000000;A;30000.000000;A;32500.000000;A;31200.000000;A;30000.000000;A;30000.000000;A;18000.000000;E;22500.000000;E;20305.000000;A;18077.000000;A;17390.000000;A;20000.000000;T;30000.000000;T;30000.000000;T;16000.000000;T;16000.000000;T;12000.000000;A;9100.000000;A;10600.000000;A;12367.000000;A;12760.000000;A;14455.000000;A;21000.000000;T;17600.000000;A;17420.000000;A;15000.000000;A;13500.000000;A;12000.000000;A;12000.000000;A;12000.000000;A;12000.000000;A;2200.000000;A;2000.000000;A;3630.000000;A;3550.000000;A;3550.000000;A;3550.000000;A;3550.000000;A;3550.000000;A;3000.000000;A;3820.000000;A;4484.000000;A;4484.000000;A;4484.000000;A;4543.000000;A;4605.000000;A;4660.000000;A;4660.000000;A;4750.000000;A;4491.000000;A;4000.000000;A;4000.000000;A;4344.000000;A;6457.000000;I;6213.000000;I;6150.000000;I
48;'188;Costa Rica;661;'01640;Cocoa beans;5419;Yield;hg/ha;3655.000000;E;4214.000000;E;3567.000000;E;3400.000000;E;2533.000000;E;3100.000000;E;2400.000000;E;2800.000000;E;1538.000000;E;1400.000000;E;2433.000000;E;2778.000000;I;2933.000000;I;2915.000000;E;3656.000000;E;3367.000000;E;3847.000000;T;3460.000000;T;3455.000000;T;3291.000000;T;3156.000000;T;2954.000000;E;2375.000000;E;3905.000000;E;3599.000000;E;3023.000000;E;2485.000000;E;1893.000000;T;2426.000000;E;2009.000000;E;2267.000000;A;2222.000000;A;2333.000000;A;1667.000000;A;1667.000000;A;1667.000000;A;3636.000000;A;4245.000000;A;2446.000000;A;1994.000000;A;1994.000000;A;1994.000000;A;1994.000000;A;1994.000000;A;1143.000000;A;1178.000000;A;1238.000000;A;1322.000000;A;1450.000000;A;1464.000000;A;1498.000000;A;1502.000000;A;1502.000000;A;1474.000000;A;1336.000000;A;1625.000000;A;1363.000000;A;1266.000000;A;1239.000000;E;1288.000000;E;1301.000000;E
48;'188;Costa Rica;661;'01640;Cocoa beans;5510;Production;tonnes;10600.000000;A;12600.000000;A;10700.000000;A;10200.000000;A;7600.000000;A;9300.000000;A;7200.000000;A;9100.000000;A;4800.000000;A;4200.000000;A;7300.000000;A;5000.000000;A;6600.000000;A;5919.000000;A;6609.000000;A;5855.000000;A;7694.000000;A;10381.000000;A;10365.000000;A;5266.000000;A;5049.000000;A;3545.000000;A;2161.000000;A;4139.000000;A;4451.000000;A;3857.000000;A;3592.000000;A;3976.000000;A;4270.000000;A;3500.000000;A;3400.000000;A;3000.000000;A;2800.000000;A;2000.000000;A;2000.000000;A;2000.000000;A;800.000000;A;849.000000;A;888.000000;A;708.000000;A;708.000000;A;708.000000;A;708.000000;A;708.000000;A;343.000000;A;450.000000;A;555.000000;A;593.000000;A;650.000000;A;665.000000;A;690.000000;A;700.000000;A;700.000000;A;700.000000;A;600.000000;A;650.000000;A;545.000000;A;550.000000;A;800.000000;T;800.000000;T;800.000000;T
107;'384;Côte d'Ivoire;661;'01640;Cocoa beans;5312;Area harvested;ha;260000.000000;A;277000.000000;A;292000.000000;A;308000.000000;A;327000.000000;A;342800.000000;A;358000.000000;A;371100.000000;A;386800.000000;A;404300.000000;A;422800.000000;A;440500.000000;A;497000.000000;A;471000.000000;A;498000.000000;A;526000.000000;A;698000.000000;A;740000.000000;A;784700.000000;A;836700.000000;A;901300.000000;A;953000.000000;A;952600.000000;A;1028700.000000;A;1099800.000000;A;1173700.000000;A;1233700.000000;A;1566500.000000;A;1373300.000000;A;1566500.000000;A;1412000.000000;T;1450000.000000;E;1425953.000000;I;1500000.000000;E;1900000.000000;E;2052878.000000;I;1823035.000000;I;1800000.000000;E;1900000.000000;E;2000000.000000;E;1777550.000000;A;1880000.000000;E;2000000.000000;E;2050000.000000;E;2193548.000000;A;2281290.000000;A;2372542.000000;A;2300000.000000;E;2176162.000000;A;2278786.000000;I;2685121.000000;I;2746080.000000;I;2731411.000000;I;3084498.000000;I;3458163.000000;I;3168749.000000;I;3982695.000000;I;4267698.000000;E;4732864.000000;E;4817367.000000;E;4214608.000000;E
107;'384;Côte d'Ivoire;661;'01640;Cocoa beans;5419;Yield;hg/ha;3269.000000;I;3971.000000;I;3938.000000;I;4515.000000;E;3724.000000;E;4366.000000;E;4096.000000;E;3893.000000;E;4672.000000;E;4431.000000;E;5341.000000;E;4210.000000;E;4196.000000;E;5128.000000;E;4641.000000;E;4417.000000;E;4350.000000;E;4302.000000;E;5069.000000;E;4987.000000;E;5156.000000;E;3782.000000;E;4315.000000;E;5493.000000;E;5047.000000;E;5203.000000;E;5382.000000;E;5312.000000;E;5684.000000;E;5155.000000;E;5416.000000;E;5607.000000;E;5637.000000;E;5391.000000;E;5895.000000;E;6017.000000;E;6139.000000;E;6673.000000;E;6121.000000;E;7006.000000;E;6821.000000;A;6727.000000;E;6758.000000;E;6864.000000;E;5864.000000;A;6176.000000;A;5184.000000;A;6011.000000;E;5621.000000;A;5711.000000;E;5628.000000;E;5411.000000;E;5305.000000;E;5310.000000;E;5194.000000;E;5157.000000;E;5107.000000;E;4952.000000;E;4722.000000;E;4567.000000;E;5220.000000;E
107;'384;Côte d'Ivoire;661;'01640;Cocoa beans;5510;Production;tonnes;85000.000000;E;110000.000000;E;115000.000000;E;139069.000000;A;121772.000000;A;149662.000000;A;146640.000000;A;144476.000000;A;180706.000000;A;179156.000000;A;225814.000000;A;185445.000000;A;208522.000000;A;241511.000000;A;231136.000000;A;232330.000000;A;303621.000000;A;318381.000000;A;397759.000000;A;417222.000000;A;464751.000000;A;360445.000000;A;411081.000000;A;565042.000000;A;555115.000000;A;610680.000000;A;664031.000000;A;832177.000000;A;780521.000000;A;807501.000000;A;764708.000000;A;813009.000000;A;803799.000000;A;808662.000000;A;1120000.000000;A;1235300.000000;A;1119110.000000;A;1201119.000000;A;1163025.000000;A;1401101.000000;A;1212428.000000;A;1264708.000000;A;1351546.000000;A;1407213.000000;A;1286330.000000;A;1408854.000000;A;1229908.000000;A;1382441.000000;A;1223153.000000;A;1301347.000000;A;1511255.000000;A;1485882.000000;A;1448992.000000;A;1637777.560000;I;1796000.000000;A;1634000.000000;A;2034000.000000;A;2113189.000000;A;2235043.000000;A;2200000.000000;A;2200000.000000;T
