,FarmID,Target,rmse,wmape,r2,mae
0,AG10,Tiny+Small,10.919023994844409,0.2837269346027677,0.5698002345394841,9.126549729722361
1,AG10,Large+Mature,21.821209324068374,1.2122616592315716,-11.898379495209262,18.79005571808936
2,AG11,Tiny+Small,13.452381622945923,0.41196378867970795,0.6137090680191263,10.367755348439317
3,AG11,Large+Mature,13.579605218664549,0.5449098083382214,-2.2024140878977967,9.535921645918876
4,DA4,Tiny+Small,14.524897253496357,0.7478610171438286,-1.4651136150881325,11.591845765729344
5,DA4,Large+Mature,4.931697032532715,0.3764952872532435,0.3411746558729033,4.706191090665544
6,SP23,Tiny+Small,20.24253230371308,0.48273442895513174,0.36852037215722455,18.504819776613385
7,SP23,Large+Mature,20.338049216682528,0.8818327340740947,-1.1333674575712367,16.166933458025067
8,GA20,Tiny+Small,4.534636842161953,0.20637580289984478,0.18472959642011988,3.7835563864971546
9,GA20,Large+Mature,6.4374415756578784,0.2154011294892675,0.3221883028440212,5.133726919494209
10,GA45,Tiny+Small,73.48758263111363,1.8634973625612514,-4.310587364711713,62.427161645801924
11,GA45,Large+Mature,18.42623942831323,1.0600874933283195,-4.976991090906064,15.017906155484527
12,SP22,Tiny+Small,23.646738435640003,0.5557017875933681,-0.25938792487291473,19.44956256576788
13,SP22,Large+Mature,6.614401053701755,0.3961467226311523,-0.7578246057718656,5.414005209292415
14,DA5,Tiny+Small,43.00471715005675,0.5386674811930414,0.15328867258075773,29.985823119745973
15,DA5,Large+Mature,11.679814355843119,0.9802785373304972,0.41597689595308307,11.273203179300717
16,DA2,Tiny+Small,8.641911577583343,0.3337670956590918,-4.015997921141205,7.787898898712142
17,DA2,Large+Mature,13.4646838319203,0.7272276188262718,-2.136337138379978,12.24166491690891
18,SP36,Tiny+Small,11.423174297352237,14.8650232951603,-57.720009962459926,9.910015530106866
19,SP36,Large+Mature,14.639822381526315,17.316025539483654,-144.57883730292448,14.430021282903047
20,SP37,Tiny+Small,26.311649300798177,1.3459455120791213,-1.8270081671296454,23.329722209371436
21,SP37,Large+Mature,23.915089930179985,0.9325245504226884,0.10281341455969928,21.603485418125615
22,SP40,Tiny+Small,9.694765231796124,0.5341236466127013,-0.42406777120671135,8.54597834580322
23,SP40,Large+Mature,13.489223609240657,0.9554580441788922,-8.452423562602366,11.943225552236152
24,FR11,Tiny+Small,9.97519566490328,0.44784163613490596,0.21443793247548526,9.404674358833025
25,FR11,Large+Mature,18.41480889002929,0.9578556943428082,-3.284937420999249,16.44318941955154
26,GA5,Tiny+Small,29.91360572085393,0.6262896924998942,0.3824068815180718,24.216534776662574
27,GA5,Large+Mature,22.969614331204987,0.848524084306039,-0.5164642371955854,19.940315981191915
28,SP28,Tiny+Small,40.62224349622589,2.463917525773196,-24.99824945295405,39.833333333333336
29,SP28,Large+Mature,12.638468749796354,0.34420301995562635,0.2639129385272856,11.35869965853567
30,FR12,Tiny+Small,35.39004649076163,0.5582404686224638,0.06597074840474582,24.84170085369964
31,FR12,Large+Mature,28.14569546411156,0.6821022452189184,-1.1703566387904387,22.509374092224306
32,DA3,Tiny+Small,38.62742640066052,1.417225285474782,-2.9403470167388512,36.84785742234433
33,DA3,Large+Mature,29.79516273733486,0.6973582741662174,0.09824604239175994,27.080746313454778
34,GA3,Tiny+Small,16.19131223172399,0.9782699177728313,-10.077123596556689,14.67404876659247
35,GA3,Large+Mature,18.13042103089311,0.9448519056720265,-2.338120734349294,17.794710890156498
36,SP19,Tiny+Small,32.53187855264107,1.1978364474055152,-5.241748426916179,25.9531230271195
37,SP19,Large+Mature,21.813904172680495,0.5703525513855562,-3.979788066620917,16.73034150730965
38,GA4,Tiny+Small,25.731626868766202,0.38286074545973037,-2.0559228676003576,22.20592323666436
39,GA4,Large+Mature,8.296846539240493,0.3604243820011372,0.5335675042639846,7.028275449022175
40,DA24,Tiny+Small,27.449593533563252,0.6844620143398281,-1.1726300893618062,23.157631485164185
41,DA24,Large+Mature,36.82799954328794,0.7876374800414162,-1.3808687250329137,29.930224241573814
42,AG130,Tiny+Small,11.136538962693626,1.0125452095215217,0.28126046322708365,9.450421955534203
43,AG130,Large+Mature,11.720386191384074,2.0412620735028284,-4.172832938396144,11.56715174984936
