,neurons_LSTM,neurons_dense,activation_dense,learning_rate,optimizer,batch_size,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
0,16,16,softmax,0.0005,<keras.optimizers.sgd.SGD object at 0x0000023A2FEDBA90>,20,37.210361316318,4.378461204416472,24.829788956122798,1.6490134540196948,0.6746068749954639,0.030222213586605522,0.014334133663485949,0.0461388964166792
1,16,16,softmax,0.0005,<keras.optimizers.rmsprop.RMSprop object at 0x0000023A018A2E50>,20,37.56383559816878,3.967581017359723,24.964791344500043,1.188955323377859,0.6785949793964532,0.019918951328804734,-0.006508392161238108,0.023570793066120532
2,16,16,softmax,0.0005,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2C415880>,20,37.44027144326026,4.151382249490837,24.962885533048947,1.720642753967974,0.6781653765884618,0.031465552037822836,0.001205635072921285,0.027119398625689406
3,16,16,softmax,0.0005,<keras.optimizers.adadelta.Adadelta object at 0x0000023A0F4FD3A0>,20,37.07038246091927,4.1899683627051845,24.896337387221013,1.3547387870392884,0.676561759015768,0.021525338788449287,0.02105485893274859,0.03154352746787136
4,16,16,softmax,0.0005,<keras.optimizers.adam.Adam object at 0x0000023A112CC7C0>,20,37.34525572698358,4.017732294869325,25.037699077553874,1.3959987473198796,0.680605644999835,0.028792131781773724,0.0047929144218272325,0.04638734473726716
5,16,16,softmax,0.0005,<keras.optimizers.adamax.Adamax object at 0x0000023A2FA419A0>,20,37.48327770060599,4.176486259524894,25.002615839446683,1.5667904433959454,0.6794464635065329,0.030094734188675473,-0.0011426629989638615,0.034396907946803015
6,16,16,softmax,0.0005,<keras.optimizers.nadam.Nadam object at 0x0000023A118BE100>,20,37.273555272353306,4.270252330318148,24.925154058762537,1.5164835421484113,0.6772603532039605,0.026303061958856885,0.01070915712916205,0.0327713289984577
7,16,16,softplus,0.0005,<keras.optimizers.sgd.SGD object at 0x0000023A017BC940>,20,35.98886326442992,4.423640935689534,23.785250020700882,1.3217228775438703,0.6468919684469447,0.034388388258772634,0.07874618226105208,0.045295486230275246
8,16,16,softplus,0.0005,<keras.optimizers.rmsprop.RMSprop object at 0x0000023A0423A040>,20,36.31768184224112,4.6702767388963,24.013688978909464,1.3345761595700136,0.6531695729930446,0.036190100896839696,0.06287451645899018,0.051074241460172635
9,16,16,softplus,0.0005,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2A8B6B20>,20,36.04323750152661,4.316612284545384,23.716461358288843,1.2859013285386647,0.6446496339180896,0.025187258071557403,0.0755846084058456,0.040208714692872474
10,16,16,softplus,0.0005,<keras.optimizers.adadelta.Adadelta object at 0x0000023A29389F10>,20,36.384399242552384,4.42851132616743,24.083996497642193,1.6426761532617569,0.6545337515927108,0.03531253483242173,0.05839164817992284,0.042155785631000496
11,16,16,softplus,0.0005,<keras.optimizers.adam.Adam object at 0x0000023A111B6BB0>,20,36.40092191236052,3.913060397225033,23.892682288547928,0.986952899618937,0.6499552301446834,0.02792783634327786,0.05491748594157342,0.024760549438799358
12,16,16,softplus,0.0005,<keras.optimizers.adamax.Adamax object at 0x0000023A2F86FB50>,20,36.00268334805803,4.353879895648975,23.51454532504507,1.3969273647912015,0.6398928732523862,0.04276594063331397,0.07693169929655426,0.057354617378720524
13,16,16,softplus,0.0005,<keras.optimizers.nadam.Nadam object at 0x0000023A2B785D30>,20,36.19481634601415,4.306730743715427,24.04495237235343,1.3494339662483505,0.6538344783372284,0.03305012726285124,0.06778608946651368,0.033641465630333586
14,16,16,softsign,0.0005,<keras.optimizers.sgd.SGD object at 0x0000023A2A0C9460>,20,36.55197339622293,4.15739428675267,24.33211932755563,1.193760374507446,0.6622512264111309,0.04014500491766615,0.046601084688927895,0.06552063782846469
15,16,16,softsign,0.0005,<keras.optimizers.rmsprop.RMSprop object at 0x00000239FA6918B0>,20,36.82077304665211,3.9208176487548787,24.561615947299533,0.925668063631583,0.6680560187659348,0.02420937867627579,0.03277593585005638,0.027617212255630304
16,16,16,softsign,0.0005,<keras.optimizers.adagrad.Adagrad object at 0x00000239D11CE5E0>,20,36.786933446796596,4.1264573585577935,24.21987852474888,1.3720648654439653,0.6586771412788749,0.03548925593429099,0.035912275749836686,0.020365028717689273
17,16,16,softsign,0.0005,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2C653EB0>,20,36.76155721951686,4.220172429036352,24.652014316804777,1.4397256359722066,0.6703634604754447,0.036190785411828914,0.03797176120924319,0.020683531182184117
18,16,16,softsign,0.0005,<keras.optimizers.adam.Adam object at 0x0000023A2C684D90>,20,36.69602776774763,3.587097655249298,24.13425729974503,0.9780693179929065,0.6567516803084184,0.0330347610750037,0.03751364242286674,0.03442505773799902
19,16,16,softsign,0.0005,<keras.optimizers.adamax.Adamax object at 0x0000023A2E6D5190>,20,36.45214764240602,3.7852179417888214,24.053228235770646,1.0302432330641522,0.654351604046116,0.030395643103813996,0.051417253576955126,0.03619696201740121
20,16,16,softsign,0.0005,<keras.optimizers.nadam.Nadam object at 0x0000023A2965F370>,20,36.50074382708302,4.071260810363181,24.38154679327443,1.316613008233262,0.6630809535451851,0.03358465328786347,0.05004217573400991,0.040335526007888256
21,16,16,relu,0.0005,<keras.optimizers.sgd.SGD object at 0x00000239F0C4D7F0>,20,35.98747823408812,4.201753822100206,23.8581594148853,1.4970325174561245,0.6484763419990024,0.031891914981226205,0.07757616123862072,0.03672975277842718
