,neurons_CNN,neurons_dense_1,neurons_dense_2,neurons_dense_3,neurons_dense_4,activation,dropout_rate,learning_rate,optimizer,batch_size,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
0,78,56,73,83,55,sigmoid,0.45,0.0081,<keras.optimizers.sgd.SGD object at 0x000001944BA25A90>,7,32.146471096723545,8.722362178635855,20.722314698477977,3.167786199720525,0.6203747060525865,0.051475183585656586,0.17247958040580225,0.10765167085834157
1,14,60,156,169,170,sigmoid,0.67,0.0014,<keras.optimizers.adamax.Adamax object at 0x000001944B79EF70>,8,36.03040672690161,7.7135762411924444,24.329551332838395,1.2266976506431675,0.7414479883182867,0.11337874820664369,-0.06822561923852266,0.12746010292507373
2,14,140,83,108,105,tanh,0.87,0.0015,<keras.optimizers.adam.Adam object at 0x000001944B713F70>,5,35.77084243698312,7.739444393117165,24.251714519425935,1.3194316376423898,0.7379454274713969,0.10493462181568365,-0.05064163449182335,0.11468646664291067
3,23,129,191,53,65,softplus,0.9,0.0051,<keras.optimizers.nadam.Nadam object at 0x0000019456650460>,5,36.15603682449454,7.647289825116465,24.38129196470859,1.076119920533898,0.743885742323023,0.11844226790834327,-0.07782591071798609,0.13737058306267952
4,36,18,66,174,183,sigmoid,0.13,0.0039,<keras.optimizers.adamax.Adamax object at 0x0000019456143400>,13,32.8313822656497,9.758586542899362,21.12384893044927,3.531747063111028,0.6319539936290839,0.0597751680501086,0.1428969310859716,0.13194173582404464
5,60,122,197,175,51,relu,0.42,0.0027,<keras.optimizers.adamax.Adamax object at 0x0000019451CAF3A0>,16,30.41505414217385,8.013942433636702,19.415052357452367,1.9152832679531226,0.5860001145276905,0.05735596707607819,0.25619548049892604,0.06689385310575129
6,10,47,18,125,80,sigmoid,0.33,0.0065,<keras.optimizers.sgd.SGD object at 0x000001944BDF4370>,11,36.08980654005434,7.641437476211181,24.373343340010425,1.1753991486758497,0.7428537453478051,0.11343020395876278,-0.0739854198164458,0.13797792014469137
7,89,40,116,109,66,linear,0.51,0.01,<keras.optimizers.adamax.Adamax object at 0x000001945635F460>,14,30.63342643921738,7.50906287566398,19.706110403039098,1.282635243894592,0.5990943336824595,0.08397863616106307,0.2323424530058115,0.11670470334143207
8,28,48,70,54,112,relu,0.71,0.0087,<keras.optimizers.adadelta.Adadelta object at 0x000001944BD702E0>,12,35.81965044502013,7.966126613659929,23.83306291866926,1.5298348233098102,0.7239236597308739,0.09582586912527477,-0.04827128168149426,0.09041614818673092
9,50,73,104,150,74,softsign,0.19,0.0082,<keras.optimizers.sgd.SGD object at 0x0000019456159A30>,10,30.856696572931423,7.2403779256159035,19.488936545256696,2.096901771309078,0.5876176805570882,0.056583648123256565,0.22219887829211277,0.09440753036198865
10,46,45,70,103,169,softmax,0.99,0.0023,<keras.optimizers.nadam.Nadam object at 0x000001944B76F160>,13,35.95804276961935,7.7675024381565585,24.286623726639096,1.282251489109939,0.7393589826002922,0.10751681234329731,-0.06191052004233699,0.11684079279266642
11,55,136,158,31,182,softplus,0.9,0.0002,<keras.optimizers.nadam.Nadam object at 0x0000019456528490>,8,36.24653778258387,7.8147309373246125,24.569091093618106,1.3134982945891889,0.7479934347701225,0.10913485723908872,-0.07915537158411223,0.1192918365870632
12,33,151,100,151,20,linear,0.09,0.0095,<keras.optimizers.adadelta.Adadelta object at 0x000001945675CD90>,13,30.553601143425208,7.135180526658275,19.509607070489647,1.4819483734504935,0.5914864272848377,0.07273309852418432,0.23186766706986836,0.12429177788756399
13,22,170,78,24,103,relu,0.28,0.005,<keras.optimizers.nadam.Nadam object at 0x0000019451E69310>,10,30.890743949419136,8.127239822355918,19.723019109520255,1.8718291183353266,0.5960190170454311,0.06357919803307036,0.2317131537382388,0.07552247484722671
14,69,92,13,121,186,softmax,0.8,0.0051,<keras.optimizers.nadam.Nadam object at 0x000001945636C7F0>,17,35.95382527623856,7.774188899260226,24.269722904722677,1.28428868731928,0.7388285453655227,0.10735271894624658,-0.061511883168942114,0.11624625930894197
15,54,99,70,26,50,softplus,0.17,0.0089,<keras.optimizers.nadam.Nadam object at 0x0000019456268F40>,16,30.362107381831514,7.759913511095568,19.35175854707855,1.9291838000649284,0.5839221181559017,0.05616569225051281,0.2555611304707674,0.07215103802323539
16,42,169,113,148,83,linear,0.25,0.0097,<keras.optimizers.adamax.Adamax object at 0x000001944B9BB430>,16,30.372330087503848,7.245581104947067,19.472053070161856,1.445332039712199,0.5909090914488054,0.07687950538288936,0.24237884078265917,0.12241180784141435
17,57,120,99,147,196,relu,0.49,0.0018,<keras.optimizers.adam.Adam object at 0x0000019458D2EAC0>,16,31.169617765396065,8.704841135179088,19.585023287386676,2.210397577377214,0.5908459991054057,0.06285220506488416,0.2225337367766575,0.08628898502769743
18,20,94,200,128,114,linear,0.31,0.0077,<keras.optimizers.sgd.SGD object at 0x0000019448ED5FA0>,16,30.644441206466848,7.3626612542080805,19.678399871922785,1.2600684066009953,0.5984433960594541,0.08520252445512438,0.2290525155411808,0.12542754965777592
19,40,170,64,94,112,linear,0.71,0.0022,<keras.optimizers.adagrad.Adagrad object at 0x000001944B754340>,11,32.555315127083986,8.516316332324338,21.44793901801889,2.0039913473176703,0.6479214060314333,0.06626698879390085,0.14838525878110545,0.06757503555117546
20,70,166,23,106,196,relu,0.61,0.001,<keras.optimizers.adamax.Adamax object at 0x000001945A012520>,19,34.76573081203726,8.604487940472625,22.393338470053827,2.357599538376109,0.6757562264644853,0.06890626240451769,0.02642246659689884,0.04303760854777504
