,neurons_CNN,neurons_dense,activation,learning_rate,optimizer,batch_size,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
0,16,16,softmax,0.0005,<keras.optimizers.sgd.SGD object at 0x00000239FC198EB0>,20,35.979566385297744,7.74283377177738,24.356137850549487,1.2700003593630012,0.7415803644801691,0.10846187574330028,-0.06380617301455913,0.1195061316349
1,16,16,softmax,0.0005,<keras.optimizers.rmsprop.RMSprop object at 0x00000239D467E4F0>,20,35.98200114574086,7.7459808557257155,24.359484589801117,1.2681223213510833,0.7416550756156248,0.10821331227831281,-0.06388494056336909,0.11922167504340933
2,16,16,softmax,0.0005,<keras.optimizers.adagrad.Adagrad object at 0x0000023A523DBD60>,20,35.04569204511891,9.029451689956495,23.241191305132467,3.3657466165112044,0.6936108770554116,0.01894704859760514,0.020441054139287762,0.049365424888736444
3,16,16,softmax,0.0005,<keras.optimizers.adadelta.Adadelta object at 0x0000023983633D90>,20,35.35625258164665,8.003620067788496,23.75951271688237,1.834732816813142,0.7241335737222331,0.11955663360764913,-0.028592654780317427,0.15294828247000447
4,16,16,softmax,0.0005,<keras.optimizers.adam.Adam object at 0x0000023A11C457C0>,20,35.98121585560709,7.744589730986039,24.35336778459985,1.2654020956181098,0.7415153227494772,0.10854761716300967,-0.0639010877551365,0.11959854406559453
5,16,16,softmax,0.0005,<keras.optimizers.adamax.Adamax object at 0x0000023A2F1A23D0>,20,35.98432642569052,7.743955849583443,24.36283041090747,1.2631234837063785,0.7417931303848959,0.10845701431865228,-0.06408247052575593,0.11950008665553168
6,16,16,softmax,0.0005,<keras.optimizers.nadam.Nadam object at 0x0000023A2BD09B20>,20,35.088653485439764,8.96415420839007,23.308876525498682,3.227453869748374,0.6965561258860343,0.022993477845300554,0.016899599200741976,0.042125190387641245
7,16,16,softplus,0.0005,<keras.optimizers.sgd.SGD object at 0x0000023A5E21E520>,20,31.805939822562983,7.262404023017878,20.297834755158895,1.5884335258515634,0.6157914741251037,0.08013344474422779,0.1687982564258305,0.11861950552248006
8,16,16,softplus,0.0005,<keras.optimizers.rmsprop.RMSprop object at 0x00000239F2069070>,20,31.018712344578468,6.991246761458491,19.71621738142437,1.952829479765558,0.5956439201276531,0.06394412227621527,0.2099820786875642,0.10482438994416886
9,16,16,softplus,0.0005,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2F711370>,20,31.01502042356621,7.285274951288618,19.61430739600674,2.207215815970645,0.5907175745354749,0.05283835736934275,0.21542641431626935,0.08641034591907475
10,16,16,softplus,0.0005,<keras.optimizers.adadelta.Adadelta object at 0x0000023A3020BBE0>,20,31.118196066974537,7.1502055346561475,19.765619566315916,1.828632667368342,0.5973223197571057,0.06264683475729148,0.20956308012730057,0.081764241060585
11,16,16,softplus,0.0005,<keras.optimizers.adam.Adam object at 0x0000023A295D7B20>,20,30.938982284239792,6.976400227629305,19.611936671281953,1.8654128894321904,0.5926257906840322,0.06292087971989244,0.21540142623533604,0.09573911563676082
12,16,16,softplus,0.0005,<keras.optimizers.adamax.Adamax object at 0x0000023A0450DDF0>,20,31.173194065402818,7.042175630518646,19.83594924156962,1.8456597361065075,0.599870838968998,0.06724221459769046,0.20353336107572084,0.09643345916697718
13,16,16,softplus,0.0005,<keras.optimizers.nadam.Nadam object at 0x0000023A570F7910>,20,30.899763015898582,7.423924668453944,19.675293173821142,2.1603280167940255,0.5924723849160174,0.05039972995686787,0.22591355710167252,0.06221958471542219
14,16,16,softsign,0.0005,<keras.optimizers.sgd.SGD object at 0x00000239F0557C70>,20,31.82610824060895,6.886005403091258,20.237717888090344,1.74616692832211,0.6131843912899221,0.0762390110487918,0.160798321421026,0.1426947488140333
15,16,16,softsign,0.0005,<keras.optimizers.rmsprop.RMSprop object at 0x0000023A2E7B75E0>,20,31.316771046540886,7.18645097989807,19.73447187001409,2.228495226818771,0.5942834248829642,0.052999866802829095,0.19794735732291033,0.09116331071755598
16,16,16,softsign,0.0005,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2CAA2EE0>,20,31.628909839964336,7.2111740223140215,20.088253409176872,2.267178033729128,0.6048500500590819,0.053005426740940886,0.18193215130030038,0.08915378598040358
17,16,16,softsign,0.0005,<keras.optimizers.adadelta.Adadelta object at 0x0000023A298F6970>,20,31.62416296344607,7.071129213816955,19.981507644855903,2.1599102403017034,0.6021749930807252,0.05531478665949232,0.17912678047576117,0.10351041019967178
18,16,16,softsign,0.0005,<keras.optimizers.adam.Adam object at 0x0000023A122B1730>,20,32.04233195058442,6.978891690054872,20.445110610030053,1.9107538697864639,0.6182534581352299,0.06923207995861848,0.1550972628368288,0.10995956236791594
19,16,16,softsign,0.0005,<keras.optimizers.adamax.Adamax object at 0x0000023A2F95D550>,20,31.413959787721524,7.096282523140743,19.95929968286963,2.007588671212399,0.602507256740144,0.06110114398658358,0.19062641266593605,0.10171499776345579
20,16,16,softsign,0.0005,<keras.optimizers.nadam.Nadam object at 0x0000023A29D26850>,20,31.430208024745717,7.316399490423283,19.92507948181987,2.5457550709448307,0.5977460860620666,0.03908912910618165,0.19539663774526622,0.07646439071361279
21,16,16,relu,0.0005,<keras.optimizers.sgd.SGD object at 0x000002398458DDC0>,20,31.07330127105812,7.338415715205161,19.719550950542775,2.220158913527334,0.5936263956520063,0.05044234382537236,0.2175021278649119,0.048998108895978096
