,Model,Iter_n,loss,root_mean_squared_error,mean_absolute_error,val_loss,val_root_mean_squared_error,val_mean_absolute_error
0,data_raw_CNN_LSTM_DNN_no_optim,1,1.0461275577545166,1.022803783416748,0.7096170783042908,0.9862595200538635,0.993105947971344,0.6847718358039856
1,data_raw_CNN_LSTM_DNN_no_optim,1,1.0163644552230835,1.0081491470336914,0.691112220287323,0.9669365882873535,0.9833292961120605,0.6709824800491333
2,data_raw_CNN_LSTM_DNN_no_optim,1,0.9628362655639648,0.9812423586845398,0.6682375073432922,0.9386019110679626,0.9688147306442261,0.6660310626029968
3,data_raw_CNN_LSTM_DNN_no_optim,1,0.9151695370674133,0.9566450715065002,0.6487807035446167,0.9317136406898499,0.9652531743049622,0.6756114959716797
4,data_raw_CNN_LSTM_DNN_no_optim,1,0.8820843696594238,0.9391934871673584,0.6358324289321899,0.9121517539024353,0.955066442489624,0.651775062084198
5,data_raw_CNN_LSTM_DNN_no_optim,1,0.8509768843650818,0.9224840998649597,0.623275876045227,0.9095057249069214,0.9536800384521484,0.6539300680160522
6,data_raw_CNN_LSTM_DNN_no_optim,1,0.8194550275802612,0.9052374958992004,0.6073715090751648,0.9041597247123718,0.9508731365203857,0.6560840606689453
7,data_raw_CNN_LSTM_DNN_no_optim,1,0.7890059947967529,0.8882600665092468,0.5986855030059814,0.914367139339447,0.956225574016571,0.6614242792129517
8,data_raw_CNN_LSTM_DNN_no_optim,1,0.761894702911377,0.8728657364845276,0.5886905789375305,0.901976466178894,0.9497244358062744,0.6402145624160767
9,data_raw_CNN_LSTM_DNN_no_optim,1,0.732483446598053,0.8558524250984192,0.5767464637756348,0.9356331825256348,0.9672812819480896,0.6502847075462341
10,data_raw_CNN_LSTM_DNN_no_optim,1,0.7090691924095154,0.8420624732971191,0.5668787956237793,0.9608045220375061,0.9802064299583435,0.6928328275680542
11,data_raw_CNN_LSTM_DNN_no_optim,1,0.690512478351593,0.8309706449508667,0.5595202445983887,0.9178407192230225,0.9580399990081787,0.6530836820602417
12,data_raw_CNN_LSTM_DNN_no_optim,1,0.6724536418914795,0.8200326561927795,0.5530149340629578,0.9363409876823425,0.967647135257721,0.6620478630065918
13,data_raw_CNN_LSTM_DNN_no_optim,1,0.658210277557373,0.8113014698028564,0.5478050708770752,0.9225924015045166,0.9605166912078857,0.6544720530509949
0,data_raw_CNN_LSTM_DNN_no_optim,2,1.0993273258209229,1.0484881401062012,0.6963198781013489,1.4465718269348145,1.2027350664138794,0.7104410529136658
1,data_raw_CNN_LSTM_DNN_no_optim,2,1.017366886138916,1.008646011352539,0.652788519859314,1.365939974784851,1.1687344312667847,0.7054898142814636
2,data_raw_CNN_LSTM_DNN_no_optim,2,0.9397650361061096,0.9694147109985352,0.6332324743270874,1.3494901657104492,1.1616754531860352,0.6791545748710632
3,data_raw_CNN_LSTM_DNN_no_optim,2,0.8849757313728333,0.9407315850257874,0.6158215999603271,1.320497751235962,1.1491291522979736,0.6770389080047607
4,data_raw_CNN_LSTM_DNN_no_optim,2,0.8382692337036133,0.9155706763267517,0.6009904146194458,1.3043612241744995,1.1420862674713135,0.6892536282539368
5,data_raw_CNN_LSTM_DNN_no_optim,2,0.7972568273544312,0.8928923606872559,0.5863438844680786,1.3041330575942993,1.141986608505249,0.691057562828064
6,data_raw_CNN_LSTM_DNN_no_optim,2,0.7696244120597839,0.8772823810577393,0.5756223797798157,1.3197945356369019,1.1488231420516968,0.6736631393432617
7,data_raw_CNN_LSTM_DNN_no_optim,2,0.7458347678184509,0.8636170625686646,0.5676901936531067,1.308822751045227,1.1440378427505493,0.6984227895736694
8,data_raw_CNN_LSTM_DNN_no_optim,2,0.7233893275260925,0.8505228757858276,0.5594881176948547,1.312302589416504,1.1455575227737427,0.6781437993049622
9,data_raw_CNN_LSTM_DNN_no_optim,2,0.7100979685783386,0.8426728248596191,0.5545541048049927,1.3496674299240112,1.1617521047592163,0.6797893643379211
10,data_raw_CNN_LSTM_DNN_no_optim,2,0.6949580907821655,0.8336412906646729,0.547383725643158,1.3446234464645386,1.159578800201416,0.6860044002532959
0,data_raw_CNN_LSTM_DNN_no_optim,3,1.1599454879760742,1.0770076513290405,0.7054471373558044,0.9875960350036621,0.9937787652015686,0.6882265210151672
1,data_raw_CNN_LSTM_DNN_no_optim,3,1.05735182762146,1.028275966644287,0.6718418002128601,0.9366877675056458,0.9678264260292053,0.6590035557746887
2,data_raw_CNN_LSTM_DNN_no_optim,3,0.9657723307609558,0.9827373027801514,0.6354251503944397,0.9164469838142395,0.9573121666908264,0.6457065343856812
3,data_raw_CNN_LSTM_DNN_no_optim,3,0.9154295325279236,0.9567806720733643,0.6193765997886658,0.9063010811805725,0.9519985318183899,0.6324751377105713
4,data_raw_CNN_LSTM_DNN_no_optim,3,0.87549889087677,0.9356807470321655,0.6040163636207581,0.9149685502052307,0.9565399885177612,0.6530768275260925
5,data_raw_CNN_LSTM_DNN_no_optim,3,0.8339146375656128,0.9131892919540405,0.5895516872406006,0.8910717964172363,0.9439660310745239,0.6191962361335754
6,data_raw_CNN_LSTM_DNN_no_optim,3,0.7914403080940247,0.8896295428276062,0.5749648213386536,0.8775671720504761,0.9367856383323669,0.6178498268127441
7,data_raw_CNN_LSTM_DNN_no_optim,3,0.7665951251983643,0.8755542635917664,0.5663021206855774,0.909099280834198,0.9534669518470764,0.6014537215232849
8,data_raw_CNN_LSTM_DNN_no_optim,3,0.7419747114181519,0.8613792657852173,0.5585042834281921,0.8685844540596008,0.9319788217544556,0.6140202879905701
