,neurons_LSTM,neurons_dense,activation_dense,learning_rate,optimizer,batch_size,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
0,16,16,softmax,0.0005,<keras.optimizers.sgd.SGD object at 0x0000023A2D234EB0>,20,36.25725591843651,7.695222502465699,24.034683995481053,1.8300923288582445,0.7296019817507553,0.08758532705125158,-0.0794343292448407,0.11722058310202067
1,16,16,softmax,0.0005,<keras.optimizers.rmsprop.RMSprop object at 0x0000023A2E936EB0>,20,35.6066518295594,8.264934549921568,23.55823542473771,2.5215337133760585,0.7100702048830809,0.053394907015952627,-0.02585916917860078,0.04841641964959736
2,16,16,softmax,0.0005,<keras.optimizers.adagrad.Adagrad object at 0x0000023A040C1970>,20,35.49839358000784,8.15853760070132,23.78544935993566,2.1814210854597262,0.7188860523629422,0.0642524856552978,-0.02212638051691538,0.05469879390623624
3,16,16,softmax,0.0005,<keras.optimizers.adadelta.Adadelta object at 0x00000239D463E130>,20,36.022385033715935,7.629503249550546,24.060944078762017,1.695393440329548,0.7304895899472725,0.0858377485865426,-0.06706739392409103,0.12343400427166673
4,16,16,softmax,0.0005,<keras.optimizers.adam.Adam object at 0x000002398334DBE0>,20,35.743815949024835,8.140030468270893,23.66091415193869,2.1999267538206224,0.7149886258425194,0.06331814055197146,-0.03649354231989381,0.051828097496006906
5,16,16,softmax,0.0005,<keras.optimizers.adamax.Adamax object at 0x0000023A10E7DAF0>,20,35.55163590418041,8.307656419549394,23.55089113633165,2.6097597468530505,0.7090941294496333,0.04760038703903662,-0.021696679813487905,0.0402184039501215
6,16,16,softmax,0.0005,<keras.optimizers.nadam.Nadam object at 0x00000239FC121550>,20,35.811348335682986,7.8868148728824465,23.829295683710335,2.0715683578984847,0.7213317470427748,0.07301737400338798,-0.047025850607986565,0.08568261162079914
7,16,16,softplus,0.0005,<keras.optimizers.sgd.SGD object at 0x00000239DFF5AB20>,20,36.23047367297183,5.348562165806507,24.052043697058913,0.7801183840895339,0.7376644037460794,0.13401223639157966,-0.13052403024286183,0.3038855910548855
8,16,16,softplus,0.0005,<keras.optimizers.rmsprop.RMSprop object at 0x0000023A29967970>,20,36.16721369744779,6.509121458866312,24.02380748688602,1.9710390029221545,0.7289424053903867,0.0871125911683721,-0.09320968844507707,0.17215295933428976
9,16,16,softplus,0.0005,<keras.optimizers.adagrad.Adagrad object at 0x0000023A11C625B0>,20,35.83830995016675,6.550714795984023,23.69428725084323,2.2198591279213638,0.7167092686108063,0.0713727556563735,-0.07059994262520448,0.1569638561110666
10,16,16,softplus,0.0005,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2B83A7F0>,20,35.99375141924188,6.570828811182206,23.69584573998994,1.951426378669997,0.7187380269775238,0.08397087635557107,-0.08207196765157991,0.17106509815601428
11,16,16,softplus,0.0005,<keras.optimizers.adam.Adam object at 0x0000023A2A5480A0>,20,36.81743301814428,6.196441021932409,24.332044962889537,1.7471163351922256,0.7396943463602808,0.09535803352316283,-0.14057643644202894,0.20184738183807624
12,16,16,softplus,0.0005,<keras.optimizers.adamax.Adamax object at 0x00000239EDEEFC70>,20,36.10393664704123,6.368871253883071,23.84137338580745,2.288366771691272,0.7210414633526493,0.07201162860894537,-0.09005209345217965,0.16821928937287145
13,16,16,softplus,0.0005,<keras.optimizers.nadam.Nadam object at 0x0000023A2E5E1A60>,20,36.359241891799044,5.887390613618996,24.088861302076218,1.3040969757321865,0.736082823235453,0.11845132229651302,-0.12214952935446033,0.2410078952997954
