iter	MultiRMSE
0	133.7593121
1	132.85424
2	132.0500906
3	131.1908538
4	130.4276568
5	129.6633149
6	128.8528596
7	128.1704469
8	127.4559929
9	126.73388
10	126.0509573
11	125.4028358
12	124.7537667
13	124.1213023
14	123.4853957
15	122.8492754
16	122.3430361
17	121.7622813
18	121.2834524
19	120.7490855
20	120.274755
21	119.8498042
22	119.3136811
23	118.9157815
24	118.4441608
25	117.9521527
26	117.5490476
27	117.1608974
28	116.7313632
29	116.3113257
30	115.9334891
31	115.5566103
32	115.2039081
33	114.7994255
34	114.4432389
35	114.0798931
36	113.8202893
37	113.503382
38	113.2351254
39	112.8674395
40	112.5853001
41	112.2964067
42	111.9940192
43	111.6922129
44	111.4402338
45	111.1929572
46	110.912369
47	110.619764
48	110.3748274
49	110.1277534
50	109.8812246
51	109.6716283
52	109.4297444
53	109.2171474
54	108.9828693
55	108.7601145
56	108.5409014
57	108.3208472
58	108.1062528
59	107.8855289
60	107.7045917
61	107.5253992
62	107.3425728
63	107.1279966
64	106.9488165
65	106.7669224
66	106.5681305
67	106.4137686
68	106.2434883
69	106.0459459
70	105.9207164
71	105.8009479
72	105.625232
73	105.4998492
74	105.3828705
75	105.2411992
76	105.079965
77	104.9455689
78	104.8076319
79	104.6709007
80	104.504428
81	104.3847206
82	104.2588103
83	104.1760926
84	104.0741043
85	103.9635779
86	103.8225338
87	103.7152893
88	103.5497339
89	103.4464186
90	103.3186024
91	103.2035643
92	103.0945506
93	102.9947653
94	102.8833471
95	102.7843837
96	102.684616
97	102.5592222
98	102.4628958
99	102.3494917
100	102.2611615
101	102.1522168
102	102.0676157
103	101.9728132
104	101.8824991
105	101.8095629
106	101.7147652
107	101.6276654
108	101.5402749
109	101.4547596
110	101.3400217
111	101.2477016
112	101.155443
113	101.0676002
114	101.0028811
115	100.9099128
116	100.8286914
117	100.7380358
118	100.6679273
119	100.5909702
120	100.5057804
121	100.4238384
122	100.3524068
123	100.2580573
124	100.1775592
125	100.0959218
126	100.0228613
127	99.97036901
128	99.91405246
129	99.85625777
130	99.78468191
131	99.73929351
132	99.67858489
133	99.62579152
134	99.55953219
135	99.45809759
136	99.40698944
137	99.32192276
138	99.2770743
139	99.22010362
140	99.17133278
141	99.09436295
142	99.01021482
143	98.9345765
144	98.89526753
145	98.82950878
146	98.75545173
147	98.72518571
148	98.67673041
149	98.61574055
150	98.56146183
151	98.51154663
152	98.44102927
153	98.37315374
154	98.32017356
155	98.26012267
156	98.18912355
157	98.12636397
158	98.07318781
159	98.01843131
160	97.97032925
161	97.91233828
162	97.86572512
163	97.81602296
164	97.75945177
165	97.69982774
166	97.65331193
167	97.61641818
168	97.56669596
169	97.52504729
170	97.47098938
171	97.42764918
172	97.39197837
173	97.30634487
174	97.26734205
175	97.22859112
176	97.16843095
177	97.12493012
178	97.06491003
179	97.01975093
180	96.97720619
181	96.9264762
182	96.87657559
183	96.81303481
184	96.78281763
185	96.71593485
186	96.66858948
187	96.6284581
188	96.57402323
189	96.54651142
190	96.50466139
191	96.44347293
