,Model,Iter_n,loss,root_mean_squared_error,mean_absolute_error,val_loss,val_root_mean_squared_error,val_mean_absolute_error
0,data_FE_FS_LSTM_no_optim,1,1.0301718711853027,1.0149738788604736,0.7092116475105286,0.9593856334686279,0.9794823527336121,0.6928526163101196
1,data_FE_FS_LSTM_no_optim,1,0.9418894648551941,0.9705098271369934,0.6738672256469727,0.9112442135810852,0.9545910954475403,0.6714213490486145
2,data_FE_FS_LSTM_no_optim,1,0.8861396312713623,0.9413499236106873,0.6509735584259033,0.8832494020462036,0.9398136734962463,0.6588909029960632
3,data_FE_FS_LSTM_no_optim,1,0.8431053161621094,0.9182076454162598,0.6341501474380493,0.8720406889915466,0.9338311553001404,0.6501073241233826
4,data_FE_FS_LSTM_no_optim,1,0.8075119256973267,0.8986167907714844,0.6160401105880737,0.8679683208465576,0.9316481947898865,0.6467993259429932
5,data_FE_FS_LSTM_no_optim,1,0.7737583518028259,0.8796353340148926,0.6018696427345276,0.8642813563346863,0.9296673536300659,0.6421335935592651
6,data_FE_FS_LSTM_no_optim,1,0.7416123747825623,0.861169159412384,0.587639570236206,0.8675395250320435,0.9314180612564087,0.6388351321220398
7,data_FE_FS_LSTM_no_optim,1,0.7113884091377258,0.8434385061264038,0.5743579268455505,0.87828129529953,0.9371665716171265,0.6372305750846863
8,data_FE_FS_LSTM_no_optim,1,0.6836851239204407,0.8268524408340454,0.5602208971977234,0.8829832077026367,0.9396718740463257,0.6429888010025024
9,data_FE_FS_LSTM_no_optim,1,0.6576356887817383,0.8109474182128906,0.5486398339271545,0.893448531627655,0.9452239871025085,0.6474688649177551
10,data_FE_FS_LSTM_no_optim,1,0.6334818601608276,0.7959158420562744,0.5397742390632629,0.9109197854995728,0.9544212818145752,0.6479443311691284
0,data_FE_FS_LSTM_no_optim,2,0.9952056407928467,0.9975998401641846,0.6848422884941101,1.425488829612732,1.1939384937286377,0.6957526803016663
1,data_FE_FS_LSTM_no_optim,2,0.8657528162002563,0.9304584264755249,0.6322270035743713,1.3708423376083374,1.1708297729492188,0.674862265586853
2,data_FE_FS_LSTM_no_optim,2,0.8006001114845276,0.8947626948356628,0.6050394773483276,1.3476693630218506,1.1608914136886597,0.6633211970329285
3,data_FE_FS_LSTM_no_optim,2,0.7526178956031799,0.867535412311554,0.5832895636558533,1.3305468559265137,1.1534934043884277,0.6594642996788025
4,data_FE_FS_LSTM_no_optim,2,0.710789680480957,0.8430835008621216,0.5649091601371765,1.3235738277435303,1.1504669189453125,0.6590964794158936
5,data_FE_FS_LSTM_no_optim,2,0.6741119027137756,0.8210430145263672,0.5472829937934875,1.3239037990570068,1.150610089302063,0.6609240770339966
6,data_FE_FS_LSTM_no_optim,2,0.6407642364501953,0.8004775643348694,0.5332311987876892,1.3335459232330322,1.1547926664352417,0.6638906002044678
7,data_FE_FS_LSTM_no_optim,2,0.6115583181381226,0.7820221185684204,0.519903302192688,1.353007435798645,1.1631886959075928,0.6707504391670227
8,data_FE_FS_LSTM_no_optim,2,0.5857058763504028,0.7653141021728516,0.5073544979095459,1.3602596521377563,1.1663017272949219,0.6765097379684448
9,data_FE_FS_LSTM_no_optim,2,0.5633148550987244,0.7505431175231934,0.49641841650009155,1.383008360862732,1.176013708114624,0.6939132213592529
0,data_FE_FS_LSTM_no_optim,3,1.116290807723999,1.0565468072891235,0.6909875869750977,0.8947334289550781,0.945903480052948,0.6418408155441284
1,data_FE_FS_LSTM_no_optim,3,0.9527667760848999,0.9760975241661072,0.6317582726478577,0.8297168612480164,0.9108878374099731,0.6165266633033752
2,data_FE_FS_LSTM_no_optim,3,0.8784871697425842,0.9372764825820923,0.6016188263893127,0.8045831918716431,0.8969855904579163,0.6035005450248718
3,data_FE_FS_LSTM_no_optim,3,0.8296136856079102,0.9108313322067261,0.5777319669723511,0.7925143241882324,0.8902326226234436,0.6000780463218689
