,Model,Iter_n,loss,root_mean_squared_error,mean_absolute_error,val_loss,val_root_mean_squared_error,val_mean_absolute_error,Epoch
0,data_raw_DNN_no_optim,1,1.0720325708389282,1.0355346202850342,0.7298077940940857,1.009903907775879,1.0048493146896362,0.7021059393882751,1
1,data_raw_DNN_no_optim,1,1.0576133728027344,1.0286238193511963,0.7181838154792786,1.0088030099868774,1.004306435585022,0.7000700235366821,2
2,data_raw_DNN_no_optim,1,1.0558301210403442,1.0270565748214722,0.717211902141571,1.0084710121154783,1.004143476486206,0.6997674107551575,3
3,data_raw_DNN_no_optim,1,1.055311679840088,1.0272482633590698,0.7164258360862732,1.008739709854126,1.0042794942855835,0.6989689469337463,4
4,data_raw_DNN_no_optim,1,1.0547758340835571,1.0271612405776978,0.7156962156295776,1.0086389780044556,1.0042297840118408,0.6992514133453369,5
5,data_raw_DNN_no_optim,1,1.054531216621399,1.0262813568115234,0.7161964178085327,1.0084686279296875,1.0041465759277344,0.7000095248222351,6
6,data_raw_DNN_no_optim,1,1.0543197393417358,1.026308298110962,0.7163766622543335,1.008448362350464,1.004136562347412,0.6998587250709534,7
7,data_raw_DNN_no_optim,1,1.0543383359909058,1.0269776582717896,0.7167201042175293,1.0083565711975098,1.0040907859802246,0.7000393867492676,8
8,data_raw_DNN_no_optim,1,1.054168462753296,1.0269279479980469,0.7167178392410278,1.008176565170288,1.0040024518966677,0.7003270387649536,9
9,data_raw_DNN_no_optim,1,1.054168701171875,1.0266773700714111,0.7175900340080261,1.0081390142440796,1.0039833784103394,0.7004435658454895,10
10,data_raw_DNN_no_optim,1,1.054180145263672,1.0268800258636477,0.7170737385749817,1.0079511404037476,1.0038903951644895,0.7005468010902405,11
11,data_raw_DNN_no_optim,1,1.0539937019348145,1.0266729593276978,0.7171468138694763,1.0079853534698486,1.003908634185791,0.7003201246261597,12
12,data_raw_DNN_no_optim,1,1.0540242195129397,1.026561975479126,0.7170250415802002,1.0080622434616089,1.0039464235305786,0.6999595761299133,13
13,data_raw_DNN_no_optim,1,1.0539904832839966,1.0268633365631104,0.717197597026825,1.0077764987945557,1.0038044452667236,0.7002876996994019,14
14,data_raw_DNN_no_optim,1,1.0539436340332031,1.0267717838287354,0.7174274325370789,1.007497787475586,1.0036646127700806,0.7002295851707458,15
15,data_raw_DNN_no_optim,1,1.0539333820343018,1.026662826538086,0.7171360850334167,1.0076011419296265,1.0037174224853516,0.7003052830696106,16
16,data_raw_DNN_no_optim,1,1.0538769960403442,1.0267057418823242,0.7174443602561951,1.007615566253662,1.0037245750427246,0.7001632452011108,17
17,data_raw_DNN_no_optim,1,1.0539567470550537,1.0263811349868774,0.7174041867256165,1.007778525352478,1.003805160522461,0.7003237009048462,18
18,data_raw_DNN_no_optim,1,1.0539242029190063,1.0267257690429688,0.7171715497970581,1.0074650049209597,1.0036489963531494,0.7004467844963074,19
19,data_raw_DNN_no_optim,1,1.0539404153823853,1.0267184972763062,0.7168248295783997,1.0073339939117432,1.003584384918213,0.7005420923233032,20
20,data_raw_DNN_no_optim,1,1.0538479089736938,1.0253008604049685,0.7167365550994873,1.0073143243789673,1.003576397895813,0.7008736729621887,21
21,data_raw_DNN_no_optim,1,1.0538183450698853,1.0268161296844482,0.7180506587028503,1.0072020292282104,1.0035183429718018,0.7006190419197083,22
22,data_raw_DNN_no_optim,1,1.0538091659545898,1.0265661478042605,0.7181296348571777,1.0070053339004517,1.003421187400818,0.7007108926773071,23
23,data_raw_DNN_no_optim,1,1.053874135017395,1.026722431182861,0.7170169353485107,1.0070658922195437,1.0034501552581787,0.7004037499427795,24
24,data_raw_DNN_no_optim,1,1.0538280010223389,1.0261609554290771,0.7172511219978333,1.006965160369873,1.0033997297286987,0.7001973986625671,25
25,data_raw_DNN_no_optim,1,1.0538372993469238,1.026024341583252,0.7173148393630981,1.0069704055786133,1.0034031867980957,0.7003273367881775,26
26,data_raw_DNN_no_optim,1,1.053747057914734,1.0267512798309326,0.7176731824874878,1.0066709518432615,1.0032557249069214,0.7006351947784424,27
27,data_raw_DNN_no_optim,1,1.053752064704895,1.0267503261566162,0.7174758315086365,1.0066494941711426,1.003244400024414,0.7005215287208557,28
28,data_raw_DNN_no_optim,1,1.0538198947906494,1.026740789413452,0.717601478099823,1.0067311525344849,1.003284573554993,0.7006009817123413,29
29,data_raw_DNN_no_optim,1,1.0538581609725952,1.0264554023742676,0.7180874943733215,1.006906270980835,1.003371000289917,0.7003681659698486,30
30,data_raw_DNN_no_optim,1,1.0536354780197144,1.026311278343201,0.7173033356666565,1.0063368082046509,1.0030897855758667,0.7006600499153137,31
31,data_raw_DNN_no_optim,1,1.0540701150894165,1.0262258052825928,0.7164467573165894,1.006606936454773,1.0032223463058472,0.7002792954444885,32
32,data_raw_DNN_no_optim,1,1.0538066625595093,1.026594638824463,0.7182023525238037,1.0063061714172363,1.0030754804611206,0.7011863589286804,33
33,data_raw_DNN_no_optim,1,1.0537662506103516,1.0259685516357422,0.7186452746391296,1.006763935089111,1.0032999515533447,0.7001146674156189,34
34,data_raw_DNN_no_optim,1,1.0537418127059937,1.0262192487716677,0.7176986336708069,1.0067410469055176,1.003288745880127,0.7001764178276062,35
35,data_raw_DNN_no_optim,1,1.0536837577819824,1.0265367031097412,0.7173131108283997,1.0062004327774048,1.0030196905136108,0.6999835968017578,36
36,data_raw_DNN_no_optim,1,1.0536305904388428,1.0263267755508425,0.7175952792167664,1.005589246749878,1.0027167797088623,0.7003836035728455,37
