,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0,-0.3241521419659877,0.15610678875418466,-0.17411317256437023,-0.1338504049969959,-0.447496172026099,-0.32228138225677055,-0.5430195779857028
1,-0.08764044608504515,0.11916836769641513,0.028651788731936106,-0.29181470016483796,-0.06964354550367884,0.028013438521332906,-0.133409212009978
2,0.10583517799030166,0.07268398759697005,0.16312070967833917,-0.006978093865377223,0.13933882800725453,0.18408307280176783,0.04961137332952401
3,0.17113370799317737,0.0634669533805293,0.22586487243070205,0.06828045191869501,0.19777157665927558,0.23491173299868282,0.12883990595853148
4,0.20422965370222051,0.08271722247353004,0.2792280680146522,0.06796152379112468,0.23566617174944496,0.2846583299325051,0.15363417502337562
5,0.23484976461849333,0.06894283769259724,0.28515789901896627,0.11486799906651668,0.26104045722560537,0.30761919946960276,0.20556326831177554
6,0.25550975831553197,0.05562485489045608,0.29396723095703253,0.16286250204431343,0.27716836166522224,0.31873222850043287,0.22481846841065878
7,0.27107739017711147,0.045200193844934546,0.29529775826334836,0.20076827068921244,0.2929961106488554,0.3273934106046915,0.23893140067944993
8,0.27803849267629743,0.04204633137316975,0.30282755507314213,0.21274109845749942,0.29976696824637816,0.3281270353512091,0.24672980625325858
9,0.2916858132668615,0.04322411294069808,0.3126326330608237,0.22370313747251447,0.31428207457750457,0.34557075377957,0.2622404674438949
10,0.297483466029198,0.038986236255383694,0.31321487671539144,0.2379927267799048,0.32089169503257814,0.3467613107319802,0.2685567208861355
11,0.30454224962720056,0.035167256327300105,0.319040779061327,0.2486338222856609,0.3286139621938491,0.34575336361654063,0.28066932097862524
12,0.30139624809563104,0.04121628421179436,0.32047705690843525,0.23328293429534294,0.3337503860873492,0.34368050068550343,0.27579036250152456
13,0.30518696090457875,0.03896969516480341,0.3135904921471373,0.24466092042664667,0.34043325831916943,0.34879934753796316,0.2784507860919771
14,0.3085926087496916,0.03516400675296248,0.3180161393510555,0.25081527487821476,0.3410910749708956,0.34457083389182314,0.28846972065646886
15,0.3086842660694248,0.036477516712432316,0.3204157185610514,0.25158668675163215,0.34715146351887394,0.3417290233997441,0.2825384381158223
16,0.31457550273206836,0.03438977528609696,0.32053185599420564,0.2579924879630087,0.34254122261771003,0.35451826889189836,0.29729367819351926
17,0.31564517274137915,0.03452874252612856,0.32733161127619276,0.261800121389666,0.34618128938800824,0.352483121207084,0.2904297204459448
18,0.31580949948735293,0.034062123525678285,0.3260045734957581,0.26120135164877706,0.3461500266847459,0.35196265859201437,0.29372888701546923
19,0.3168928710564459,0.03842865600642789,0.32659351651413465,0.2526712541715999,0.3509646922529288,0.35707839193855323,0.29715650040501324
20,0.3213566051145324,0.03569043903788776,0.3287461483117971,0.263451095857689,0.35359921904959185,0.36011455723243047,0.3008720051211538
21,0.31963944314381093,0.0366734717847543,0.3284743096865223,0.26169264097990835,0.3559111650417763,0.3568065625612273,0.29531253744962044
22,0.3233508372508999,0.034748793150845475,0.329588622976344,0.267901751786483,0.35751452508400505,0.35954090559721,0.30220838081045737
23,0.3228156688295957,0.0367425480521831,0.3297763300811496,0.26486143675355894,0.36179249807860064,0.35841741817488465,0.29923066105978485
24,0.3239507387884759,0.0404709178422676,0.3347348913156627,0.25612370398877277,0.36479780853893357,0.3609712666518472,0.3031260234471634
25,0.3213276517306078,0.035639256534848396,0.3299914540938766,0.2619246246259263,0.35654444618575093,0.35541666965428736,0.302761064093198
26,0.32720297688789923,0.03546104069512924,0.33605865342865365,0.2705995367068353,0.36269548124592443,0.36222905832961255,0.3044321547284704
27,0.3267946519102211,0.03536727144186714,0.3310104721485021,0.2703915410746669,0.36523919915161623,0.3608939567078042,0.3064380904685163
28,0.32554523002928093,0.034418856656390516,0.33366159930100386,0.2740907629566667,0.36278464593457604,0.35863187926514545,0.2985572626890125
29,0.32547005833690784,0.0345520696852965,0.3319805527570348,0.272691484995186,0.36723377664775625,0.3540557767325396,0.3013887005520226
30,0.32635882374476766,0.036343860423851404,0.331232611326536,0.26744582892709673,0.3675506409563721,0.3585758577066378,0.30698917980719576
31,0.32749606946720133,0.03291554474624697,0.32824039298256524,0.2772582627956597,0.36729432178736837,0.35746214975496704,0.3072252200154464
32,0.3280018957261943,0.03454586028671417,0.33262513104543906,0.27332875591531874,0.3677414637633399,0.3588880861491052,0.30742604175776855
33,0.3280175997313137,0.03228138581941959,0.3337472550433121,0.2743376670890358,0.36157954923399954,0.35830027583601765,0.31212325145420355
34,0.32627622216693386,0.032789623748252866,0.3322830050392847,0.2721897484778886,0.35945812267220534,0.3582440737843842,0.30920616086090646
35,0.32706661055567093,0.03429591364691537,0.3301152194048144,0.27445120371622206,0.36669087586097726,0.3592763059324057,0.3047994478639352
36,0.32652627490158675,0.03709715856222927,0.33673589543464605,0.2671462189102574,0.36684863452272687,0.3591081852323837,0.3027924404079196
37,0.3237792307723707,0.03280554843306638,0.3330690927205536,0.27188125380617195,0.36009219281612,0.3520552055759054,0.3017984089431028
38,0.3273620782142963,0.03255363879873926,0.3324423967291087,0.2783070952875631,0.365741924719778,0.35640670032960636,0.3039122740054253
39,0.3289861948070571,0.03180899024740391,0.3331692183665565,0.28233876626353827,0.36819682312429364,0.3563308991698477,0.3048952671110494
40,0.324291820082445,0.03268521706186359,0.33249832007497276,0.27209598247585576,0.36097118128042593,0.3522137771044011,0.30367983947656946
41,0.3283369518592514,0.03208503219375924,0.3361632529832172,0.2790948543265985,0.36165921913514537,0.35993444411437464,0.3048329887369213
