,neurons_layer,activation_layer,learning_rate,optimizer,dropout,batch_size,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
0,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D0B439A0>,0.08,18,30.558882521930464,6.6923869774279545,18.941686020411698,1.6813769878131404,0.5722379430529283,0.05651024280603362,0.23333262151543632,0.08732726865098484
1,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D73A5FD0>,0.82,18,30.689538075363394,7.144276852123947,20.008484098334716,1.6527684810966028,0.6067853369599491,0.07851500360384062,0.229742771097887,0.09543289222258647
2,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D42531C0>,0.49,18,30.671715365719024,6.736811005061711,19.490861175496594,1.9816009355899515,0.5889006147578476,0.0653670376973314,0.23088764025542452,0.06569238666602673
3,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239DFE7F9D0>,0.44,18,30.022252037800733,6.769814037882737,19.18599620270573,1.9562664682704425,0.5793569155115191,0.06114942681811412,0.2583915133464815,0.10833324932906901
4,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D08269A0>,0.02,18,30.81516940264284,7.021068859615841,19.52366367469426,2.379228853716435,0.5868108482788739,0.04599380212275466,0.22575486366817304,0.06598784404371393
5,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239C81615B0>,0.8,18,30.706815102136762,7.3072457341678,19.93296462453269,2.0248201357478166,0.600543906766277,0.04935001838418871,0.2371944929195696,0.04110857881542108
6,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239DA9C8D30>,0.36,18,30.032598353040555,7.297641531758702,19.07472113331938,2.259151059820078,0.5736821934377746,0.04700572704332082,0.26834481739924526,0.06915112325490196
7,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239CD82E070>,0.61,18,30.64693489770582,6.84146865750766,19.023977403858908,1.5709179180239015,0.5772940270828696,0.07769838551549696,0.22319533149164075,0.1337836907125209
8,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239CD746A60>,0.98,18,35.969390312381435,7.759223405266336,24.321161092808044,1.2680475940477973,0.7404650165951395,0.1078884676159172,-0.0628259632594113,0.11796213118487432
9,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239F065DEB0>,0.53,18,30.764561034255166,6.685038977883023,19.562452306389027,1.806780538234948,0.5923031041319373,0.0723864328082733,0.2210541625965216,0.10136665377044732
10,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239DCC20640>,0.01,18,30.600216178616357,6.905545662110089,19.12658038139343,2.0666557714592937,0.5762031822497289,0.05066180627468281,0.23413209245166078,0.08062309272740749
11,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239CD57A190>,0.73,18,30.52028270946018,7.240300322834077,19.248968604732962,1.7245460915198947,0.5820761219050054,0.0633378352232427,0.2403546205260249,0.08651148517320502
12,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239EDF58EB0>,0.32,18,31.15894959886064,6.690303034735075,19.623532160902336,1.8729098925765557,0.5934326668717512,0.06761795236859425,0.20246451548399774,0.08694713228874335
13,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239CC1E8E50>,0.87,18,31.330519147275385,6.983788379152925,20.68139456487169,1.3239355484798634,0.6295263430365982,0.0941520197542994,0.18868235413818618,0.13636128382849025
14,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D567EA90>,0.95,18,35.96716518544391,7.751661186876885,24.324590321303972,1.2669277219814157,0.74060612606327,0.1081871654049391,-0.06285605055202725,0.1186302937247495
15,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239CEC435E0>,0.68,18,30.60753179464033,7.112735478020979,19.516409778984542,1.849112509404173,0.5895655568124211,0.060943338398598654,0.23717288582299528,0.06667019185179279
16,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239CD616760>,0.23,18,30.69049943738287,6.766773585217398,19.456492516184163,1.6618329105722855,0.5897560420865677,0.07495285683917138,0.22245717371078494,0.1211676014564899
17,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239F0B2BA90>,0.86,18,31.49597056813831,7.159108387836606,20.588840555833055,1.6417521580111218,0.6247531277525653,0.08283854747300992,0.18199092637755585,0.133667596685171
18,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239CD6B32B0>,0.83,18,31.018587519694307,7.507834935042489,20.16590091815961,1.9676740473024,0.6096992791900456,0.06911640094096058,0.21987754183905536,0.0686633736261533
19,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D0872490>,0.71,18,30.649052118449145,7.098823887372638,19.52955139213138,1.7940300129822986,0.5903461513728888,0.063169026829826,0.23490842980769008,0.06808634147004054
20,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239CBE6A370>,0.85,18,31.15620529100986,7.531399230498866,20.268502202143075,2.1865573370294085,0.6102514396557168,0.049791914803050216,0.21536970793550622,0.04437702468096958
21,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D570E0A0>,0.38,18,30.333621839826144,6.926214943006848,19.3820431358674,2.2284194822253984,0.5833248741336072,0.04959645104591878,0.24722529765923218,0.08610309643635908
