,Model,Iter_n,loss,root_mean_squared_error,mean_absolute_error,val_loss,val_root_mean_squared_error,val_mean_absolute_error
0,data_FE_FS_CNN_no_optim,1,1.3903985023498535,1.179989218711853,0.8483812808990479,1.265114665031433,1.1256262063980103,0.783051609992981
1,data_FE_FS_CNN_no_optim,1,1.1766867637634277,1.0850565433502197,0.7678391337394714,1.1394777297973633,1.0682345628738403,0.7427623867988586
2,data_FE_FS_CNN_no_optim,1,1.1138044595718384,1.0558255910873413,0.7455882430076599,1.0844664573669434,1.0421142578125,0.7263815999031067
3,data_FE_FS_CNN_no_optim,1,1.086443305015564,1.0430018901824951,0.7364473342895508,1.0568277835845947,1.028735876083374,0.7170197367668152
4,data_FE_FS_CNN_no_optim,1,1.070553183555603,1.0357813835144043,0.7305315136909485,1.041220784187317,1.0211087465286255,0.7120250463485718
5,data_FE_FS_CNN_no_optim,1,1.0607150793075562,1.0304219722747803,0.725254237651825,1.0285735130310059,1.0148860216140747,0.7078295946121216
6,data_FE_FS_CNN_no_optim,1,1.0525201559066772,1.0264153480529785,0.7217538952827454,1.022446870803833,1.01186203956604,0.705989420413971
7,data_FE_FS_CNN_no_optim,1,1.0500314235687256,1.0233851671218872,0.7204704284667969,1.0179656744003296,1.009636402130127,0.7044767737388611
8,data_FE_FS_CNN_no_optim,1,1.0462541580200195,1.0210877656936646,0.7183458209037781,1.013837456703186,1.0075969696044922,0.7035443186759949
9,data_FE_FS_CNN_no_optim,1,1.0432921648025513,1.0220547914505005,0.7189272046089172,1.0092045068740845,1.0052915811538696,0.7034125924110413
10,data_FE_FS_CNN_no_optim,1,1.0409162044525146,1.0209795236587524,0.7187722325325012,1.0095365047454834,1.0054571628570557,0.7023217678070068
11,data_FE_FS_CNN_no_optim,1,1.038644790649414,1.018924593925476,0.716850757598877,1.0091452598571777,1.0052670240402222,0.7018089890480042
12,data_FE_FS_CNN_no_optim,1,1.0377095937728882,1.0193123817443848,0.7170321345329285,1.0079572200775146,1.0046732425689697,0.6999525427818298
13,data_FE_FS_CNN_no_optim,1,1.0363675355911255,1.018598198890686,0.7164602279663086,1.0060745477676392,1.0037436485290527,0.700108528137207
14,data_FE_FS_CNN_no_optim,1,1.0350703001022339,1.0179399251937866,0.7155181169509888,1.004414677619934,1.00291109085083,0.6993151307106018
15,data_FE_FS_CNN_no_optim,1,1.0343538522720337,1.017527461051941,0.7141754627227783,1.0016316175460815,1.0015166997909546,0.6982921361923218
16,data_FE_FS_CNN_no_optim,1,1.033836841583252,1.0157139301300049,0.7145721316337585,1.0002635717391968,1.0008349418640137,0.6994397044181824
17,data_FE_FS_CNN_no_optim,1,1.031967043876648,1.0134118795394897,0.714885413646698,0.9977917075157166,0.9995933175086975,0.6991923451423645
18,data_FE_FS_CNN_no_optim,1,1.0326932668685913,1.0164458751678467,0.7148732542991638,0.9985014200210571,0.9999529719352722,0.6988767385482788
19,data_FE_FS_CNN_no_optim,1,1.0314418077468872,1.015891194343567,0.7145307660102844,0.9990289211273193,1.0002169609069824,0.6980693340301514
20,data_FE_FS_CNN_no_optim,1,1.031032681465149,1.016352653503418,0.7148706912994385,1.0001776218414307,1.0007966756820679,0.6984989047050476
